route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100082,1,"190","","Redondo Heights P&R - Star Lake - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/190/n0.html,,
100089,1,"2","","West Queen Anne - Downtown Seattle - Madrona Park",3,http://metro.kingcounty.gov/schedules/002/n0.html,,
100099,1,"208","","North Bend - Issaquah Transit Center",3,http://metro.kingcounty.gov/schedules/208/n0.html,,
100101,1,"21","","Arbor Heights-Westwood Village-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/021/n0.html,,
100104,1,"212","","Eastgate P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/212/n0.html,,
100106,1,"214","","Issaquah - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/214/n0.html,,
100108,1,"216","","Bear Creek P&R - Sammamish - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/216/n0.html,,
100109,1,"217","","Downtown Seattle - North Issaquah",3,http://metro.kingcounty.gov/schedules/217/n0.html,,
100111,1,"22","","Westwood Villge-Shorewood-Gatewood-Alaska Junction",3,http://metro.kingcounty.gov/schedules/022/n0.html,,
100113,1,"221","","Education Hill - Crossroads - Eastgate",3,http://metro.kingcounty.gov/schedules/221/n0.html,,
100124,1,"232","","Duvall - Redmond TC - Overlake - Bellevue TC",3,http://metro.kingcounty.gov/schedules/232/n0.html,,
100129,1,"237","","Woodinville P&R - Bellevue TC",3,http://metro.kingcounty.gov/schedules/237/n0.html,,
100132,1,"24","","West Magnolia - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/024/n0.html,,
100133,1,"240","","Bellevue Transit Center - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/240/n0.html,,
100136,1,"245","","Kirkland Transit Center - Crossroads - Factoria",3,http://metro.kingcounty.gov/schedules/245/n0.html,,
100137,1,"246","","Eastgate P&R-Somerset-Bellevue TC-Clyde Hill",3,http://metro.kingcounty.gov/schedules/246/n0.html,,
100139,1,"249","","Overlake - South Bellevue Station",3,http://metro.kingcounty.gov/schedules/249/n0.html,,
100146,1,"255","","Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist",3,http://metro.kingcounty.gov/schedules/255/n0.html,,
100148,1,"257","","Brickyard P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/257/n0.html,,
100159,1,"268","","Redmond - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/268/n0.html,,
100160,1,"269","","Issaquah Transit Center - Overlake P&R",3,http://metro.kingcounty.gov/schedules/269/n0.html,,
100161,1,"27","","Colman Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/027/n0.html,,
100162,1,"271","","Issaquah - University District",3,http://metro.kingcounty.gov/schedules/271/n0.html,,
100169,1,"28","","Whittier Heights - Fremont - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/028/n0.html,,
100173,1,"3","","North Queen Anne - Downtown Seattle - Madrona",3,http://metro.kingcounty.gov/schedules/003/n0.html,,
100175,1,"301","","Aurora Vill TC -Shoreline P&R -Northgate Station",3,http://metro.kingcounty.gov/schedules/301/n0.html,,
100177,1,"303","","Aurora Village - Northgate Station - First Hill",3,http://metro.kingcounty.gov/schedules/303/n0.html,,
100178,1,"304","","Shoreline P&R - Northgate Station",3,http://metro.kingcounty.gov/schedules/304/n0.html,,
100184,1,"31","","Children's Hospital - Fremont - Central Magnolia",3,http://metro.kingcounty.gov/schedules/031/n0.html,,
100186,1,"311","","Woodinville - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/311/n0.html,,
100193,1,"32","","Children's Hospital - Fremont -Seattle Center West",3,http://metro.kingcounty.gov/schedules/032/n0.html,,
100194,1,"33","","Discovery Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/033/n0.html,,
100195,1,"330","","Shoreline Community College - Lake City",3,http://metro.kingcounty.gov/schedules/330/n0.html,,
100196,1,"331","","Shoreline Comm Coll-Aurora Village TC-Kenmore P&R",3,http://metro.kingcounty.gov/schedules/331/n0.html,,
100201,1,"342","","Shoreline P&R - Renton TC",3,http://metro.kingcounty.gov/schedules/342/n0.html,,
100202,1,"345","","Shoreline Community College - Northgate Station",3,http://metro.kingcounty.gov/schedules/345/n0.html,,
100203,1,"346","","Aurora Village TC - Northgate Station",3,http://metro.kingcounty.gov/schedules/346/n0.html,,
100204,1,"347","","Mountlake Terrace - Northgate Station",3,http://metro.kingcounty.gov/schedules/347/n0.html,,
100205,1,"348","","Richmond Beach - Shoreline - Northgate Station",3,http://metro.kingcounty.gov/schedules/348/n0.html,,
100210,1,"36","","Othello Station - Beacon Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/036/n0.html,,
100214,1,"372","","UW/Cascadia College - University District",3,http://metro.kingcounty.gov/schedules/372/n0.html,,
100219,1,"4","","East Queen Anne - Downtown Seattle - Judkins Park",3,http://metro.kingcounty.gov/schedules/004/n0.html,,
100223,1,"43","","Univ Dist-Montlake-Capitol Hill-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/043/n0.html,,
100224,1,"44","","Ballard - Montlake",3,http://metro.kingcounty.gov/schedules/044/n0.html,,
100225,1,"45","","Loyal Heights - University District",3,http://metro.kingcounty.gov/schedules/045/n0.html,,
100228,1,"48","","Mt Baker - University District",3,http://metro.kingcounty.gov/schedules/048/n0.html,,
100229,1,"5","","Shoreline CC - Greenwood - Seattle",3,http://metro.kingcounty.gov/schedules/005/n0.html,,
100230,1,"50","","West Seattle - SODO - Beacon Hill - Columbia City",3,http://metro.kingcounty.gov/schedules/050/n0.html,,
100232,40,"522","","Woodinville - Roosevelt Link Station",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/522,,
100236,40,"545","","Redmond - Seattle",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/545,,
100238,1,"55","","Admiral District-Alaska Junction-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/055/n0.html,,
100239,40,"550","","Bellevue - Seattle",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/550,,
100240,40,"554","","Issaquah - Seattle",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/554,,
100242,1,"56","","Alki - Admiral District - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/056/n0.html,,
100246,1,"57","","Alaska Junction - Genesee Hill - Admiral District",3,http://metro.kingcounty.gov/schedules/057/n0.html,,
100249,1,"60","","Westwood Village - Georgetown - Broadway",3,http://metro.kingcounty.gov/schedules/060/n0.html,,
100252,1,"62","","Sand Point - Green Lake - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/062/n0.html,,
100253,1,"64","","Lake City - Univ Dist - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/064/n0.html,,
100254,1,"65","","Lake City  - University District",3,http://metro.kingcounty.gov/schedules/065/n0.html,,
100259,1,"67","","Northgate - Roosevelt - University District",3,http://metro.kingcounty.gov/schedules/067/n0.html,,
100263,1,"7","","Prentice St - Rainier Beach - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/007/n0.html,,
100264,1,"70","","University District - Eastlake - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/070/n0.html,,
100267,1,"73","","Jackson Park - Univ District",3,http://metro.kingcounty.gov/schedules/073/n0.html,,
100269,1,"75","","Northgate - Lake City - Sand Point - Univ District",3,http://metro.kingcounty.gov/schedules/075/n0.html,,
100272,1,"773","","Seacrest Park - West Seattle Junction",3,http://metro.kingcounty.gov/schedules/773/n0.html,,
100275,1,"8","","Seattle Center - Capitol Hill - Rainier Beach",3,http://metro.kingcounty.gov/schedules/008/n0.html,,
100289,1,"9","","Rainier Beach - Columbia City - Broadway",3,http://metro.kingcounty.gov/schedules/009/n0.html,,
100290,1,"901","","Mirror Lake - Federal Way TC",3,http://metro.kingcounty.gov/schedules/901/n0.html,,
100292,1,"903","","Twin Lakes - Federal Way TC",3,http://metro.kingcounty.gov/schedules/903/n0.html,,
100297,1,"914","","Downtown Kent - Kent East Hill",3,http://metro.kingcounty.gov/schedules/914/n0.html,,
100300,1,"917","","Pacific - Algona - Auburn Station",3,http://metro.kingcounty.gov/schedules/917/n0.html,,
100336,1,"973","","Water Taxi: West Seattle - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,,
100337,1,"975","","Water Taxi: Vashon Island - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,,
100340,23,"South Lake Union Streetcar","","Streetcar: Fairview/Aloha - Westlake/McGraw",0,https://www.seattle.gov/transportation/getting-around/transit/streetcar/south-lake-union-line,,
100341,1,"982","","Bear Creek P&R - Lakeside School",3,http://metro.kingcounty.gov/schedules/982/n0.html,,
100343,1,"984","","Lakeside School - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/984/n0.html,,
100344,1,"986","","Kirkland - Lakeside School",3,http://metro.kingcounty.gov/schedules/986/n0.html,,
100345,1,"987","","Rainier Beach - Lakeside School",3,http://metro.kingcounty.gov/schedules/987/n0.html,,
100346,1,"988","","Madrona - Lakeside School",3,http://metro.kingcounty.gov/schedules/988/n0.html,,
100347,1,"989","","Eastgate - Lakeside School",3,http://metro.kingcounty.gov/schedules/989/n0.html,,
100350,1,"994","","Downtown Seattle - Lakeside School",3,http://metro.kingcounty.gov/schedules/994/n0.html,,
100447,1,"49","","Univ District - Broadway - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/049/n0.html,,
100451,40,"556","","Issaquah-University District",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/556,,
100459,1,"218","","Issaquah Highlands - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/218/n0.html,,
100473,1,"981","","Lakeside School - Houghton P&R",3,http://metro.kingcounty.gov/schedules/981/n0.html,,
100481,1,"775","","Seacrest Park - Admiral District - Alki",3,http://metro.kingcounty.gov/schedules/775/n0.html,,
100487,1,"102","","Fairwood - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/102/n0.html,,
100489,1,"156","","Southcenter - SeaTac - Des Moines - Highline Coll",3,http://metro.kingcounty.gov/schedules/156/n0.html,,
100495,1,"193","","Federal Way S 320th P&R-Federal Way TC-First Hill",3,http://metro.kingcounty.gov/schedules/193/n0.html,,
100496,1,"930","","Kingsgate P&R - Redmond Town Center",3,http://metro.kingcounty.gov/schedules/930/n0.html,,
100511,40,"542","","Redmond - University District",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/542,,
100512,1,"A Line","","Federal Way TC - SeaTac - Tukwila Intl Blvd Sta",3,http://metro.kingcounty.gov/schedules/671/n0.html,,
102548,1,"B Line","","Redmond TC - Overlake TC - Bellevue TC",3,http://metro.kingcounty.gov/schedules/672/n0.html,,
102552,1,"226","","Eastgate P&R-Crossroads-Overlake-Bellevue TC",3,http://metro.kingcounty.gov/schedules/226/n0.html,,
102554,1,"241","","Eastgate P&R - Bellevue Transit Center",3,http://metro.kingcounty.gov/schedules/241/n0.html,,
102555,1,"893","","Forbes Crk - Kirkland - Lk WA HS",3,http://metro.kingcounty.gov/schedules/893/n0.html,,
102557,1,"915","","Enumclaw - Auburn Station",3,http://metro.kingcounty.gov/schedules/915/n0.html,,
102561,1,"907","","Enumclaw - Renton TC",3,http://metro.kingcounty.gov/schedules/907/n0.html,,
102572,1,"29","","Ballard - SPU - Queen Anne - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/029/n0.html,,
102574,1,"40","","Northgte-Ballard-Fremont-Westlake-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/040/n0.html,,
102576,1,"C Line","","Valley St/Fairview Av N - SW Barton St/26 Av SW",3,http://metro.kingcounty.gov/schedules/673/n0.html,,
102581,1,"D Line","","Blue Ridge/Crown Hill - Ballard - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/674/n0.html,,
102593,1,"906","","Fairwood - Southcenter - Tukwila Sounder Station",3,http://metro.kingcounty.gov/schedules/906/n0.html,,
102615,1,"E Line","","Aurora Village Transit Center - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/675/n0.html,,
102619,1,"F Line","","Burien TC - Tukwila Intl Blvd Sta - Renton Landing",3,http://metro.kingcounty.gov/schedules/676/n0.html,,
102628,1,"895","","Ardmore Park - Lake WA HS",3,http://metro.kingcounty.gov/schedules/895/n0.html,,
102634,1,"630","","So Mercer Island - First Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/630/n0.html,,
102636,1,"631","","Gregory Heights - Burien Transit Center",3,http://metro.kingcounty.gov/schedules/631/n0.html,,
102638,23,"First Hill Streetcar","","Streetcar: Pioneer Square - Capitol Hill",0,https://www.seattle.gov/transportation/getting-around/transit/streetcar/first-hill-line,,
102647,1,"635","","Des Moines Marina District - Angle Lake Station",3,http://metro.kingcounty.gov/schedules/635/n0.html,,
102652,1,"204","","S Mercer Island-Island Crest Way-Mercer Island P&R",3,http://metro.kingcounty.gov/schedules/204/n0.html,,
102653,1,"224","","Duvall - Redmond Transit Center",3,http://metro.kingcounty.gov/schedules/224/n0.html,,
102698,1,"Duvall-Monroe Shuttle","","Duvall - Monroe Shuttle",3,http://metro.kingcounty.gov/schedules/627/n0.html,,
102699,1,"SVT","","No. Bend-Snoqualmie-Fall City-Carnation-Duvall",3,http://metro.kingcounty.gov/schedules/629/n0.html,,
102701,1,"225","","Kenmore - Totem Lake TC - Overlake",3,http://metro.kingcounty.gov/schedules/225/n0.html,,
102702,1,"239","","UW/Cascadia Coll - Totem Lake TC - Kirkland TC",3,http://metro.kingcounty.gov/schedules/239/n0.html,,
102703,1,"231","","Woodinville - Brickyard - Juanita - Kirkland TC",3,http://metro.kingcounty.gov/schedules/231/n0.html,,
102704,1,"250","","Avondale -  Redmond TC - Kirkland TC - Bellevue TC",3,http://metro.kingcounty.gov/schedules/250/n0.html,,
102705,1,"230","","North Creek - Bothell - Juanita - Kirkland TC",3,http://metro.kingcounty.gov/schedules/230/n0.html,,
102715,1,"162","","Lake Meridean P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/162/n0.html,,
102717,1,"165","","Green River College - Kent - Des Moines - Burien",3,http://metro.kingcounty.gov/schedules/165/n0.html,,
102718,1,"184","","Auburn Station - White River Junction",3,http://metro.kingcounty.gov/schedules/184/n0.html,,
102719,1,"161","","Burien - Kent Station",3,http://metro.kingcounty.gov/schedules/161/n0.html,,
102720,1,"160","","Renton TC - Kent Station - Auburn Station",3,http://metro.kingcounty.gov/schedules/160/n0.html,,
102727,1,"16","","Broadview/Carkeek Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/016/n0.html,,
102728,1,"320","","Kenmore - Lake City - Northgate - SLU",3,http://metro.kingcounty.gov/schedules/320/n0.html,,
102729,1,"322","","Kenmore P&R - 12 Av/E Terrace St",3,http://metro.kingcounty.gov/schedules/322/n0.html,,
102730,1,"20","","Lake City - Northgate - University District",3,http://metro.kingcounty.gov/schedules/020/n0.html,,
102731,1,"302","","Richmond Beach - AVTC - Northgate - First Hill",3,http://metro.kingcounty.gov/schedules/302/n0.html,,
102732,1,"79","","Greenlake - University District",3,http://metro.kingcounty.gov/schedules/079/n0.html,,
102734,40,"566","","Auburn - Redmond",3,http://www.soundtransit.org/Schedules/ST-Express-Bus/566,,
102736,1,"H Line","","Burien TC - Westwood Village - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/678/n0.html,,
