service_id,date,exception_type
47517,20230501,1
47517,20230424,1
47517,20230411,2
47517,20230425,1
47517,20230418,1
47517,20230404,1
47517,20230530,1
47517,20230606,1
47517,20230328,1
47517,20230523,1
47517,20230321,1
47517,20230509,1
47517,20230516,1
47517,20230502,1
47517,20230412,2
47517,20230517,1
47517,20230503,1
47517,20230510,1
47517,20230426,1
47517,20230419,1
47517,20230405,1
47517,20230531,1
47517,20230329,1
47517,20230524,1
47517,20230322,1
47517,20230413,2
47517,20230330,1
47517,20230525,1
47517,20230323,1
47517,20230518,1
47517,20230504,1
47517,20230511,1
47517,20230427,1
47517,20230420,1
47517,20230406,1
47517,20230601,1
47517,20230414,2
47517,20230421,1
47517,20230407,1
47517,20230602,1
47517,20230331,1
47517,20230526,1
47517,20230324,1
47517,20230519,1
47517,20230505,1
47517,20230512,1
47517,20230428,1
41262,20230529,2
41262,20230410,2
41262,20230417,1
41262,20230403,1
41262,20230320,1
41262,20230605,1
41262,20230327,1
41262,20230522,1
41262,20230508,1
41262,20230515,1
41262,20230501,1
41262,20230424,1
41262,20230411,2
41262,20230425,1
41262,20230418,1
41262,20230404,1
41262,20230530,1
41262,20230606,1
41262,20230328,1
41262,20230523,1
41262,20230321,1
41262,20230509,1
41262,20230516,1
41262,20230502,1
41262,20230413,2
41262,20230608,1
41262,20230330,1
41262,20230525,1
41262,20230323,1
41262,20230518,1
41262,20230504,1
41262,20230511,1
41262,20230427,1
41262,20230420,1
41262,20230406,1
41262,20230601,1
41262,20230526,2
41262,20230414,2
41262,20230421,1
41262,20230407,1
41262,20230602,1
41262,20230609,1
41262,20230331,1
41262,20230324,1
41262,20230519,1
41262,20230505,1
41262,20230512,1
41262,20230428,1
15806,20230417,2
15806,20230403,2
15806,20230529,2
15806,20230605,2
15806,20230327,2
15806,20230522,2
15806,20230508,2
15806,20230515,2
15806,20230501,2
15806,20230424,2
15806,20230410,1
15806,20230425,2
15806,20230418,2
15806,20230404,2
15806,20230530,2
15806,20230606,2
15806,20230328,2
15806,20230523,2
15806,20230509,2
15806,20230516,2
15806,20230502,2
15806,20230411,1
15806,20230330,2
15806,20230525,2
15806,20230323,2
15806,20230518,2
15806,20230504,2
15806,20230511,2
15806,20230427,2
15806,20230420,2
15806,20230406,2
15806,20230601,2
15806,20230413,1
15806,20230421,2
15806,20230407,2
15806,20230602,2
15806,20230331,2
15806,20230324,2
15806,20230519,2
15806,20230505,2
15806,20230512,2
15806,20230428,2
15806,20230414,1
15806,20230526,1
12202,20230417,2
12202,20230403,2
12202,20230320,2
12202,20230327,2
12202,20230522,2
12202,20230508,2
12202,20230515,2
12202,20230501,2
12202,20230424,2
12202,20230410,2
12202,20230529,1
9551,20230529,2
9551,20230605,2
9551,20230522,2
9551,20230508,2
9551,20230515,2
9551,20230501,2
9551,20230424,2
9551,20230417,1
9551,20230410,1
9551,20230425,2
9551,20230418,2
9551,20230530,2
9551,20230606,2
9551,20230523,2
9551,20230509,2
9551,20230516,2
9551,20230502,2
9551,20230411,1
9551,20230517,2
9551,20230503,2
9551,20230510,2
9551,20230426,2
9551,20230419,2
9551,20230531,2
9551,20230524,2
9551,20230607,1
9551,20230412,1
9551,20230525,2
9551,20230518,2
9551,20230504,2
9551,20230511,2
9551,20230427,2
9551,20230420,2
9551,20230601,2
9551,20230608,1
9551,20230413,1
9551,20230421,2
9551,20230602,2
9551,20230526,2
9551,20230519,2
9551,20230505,2
9551,20230512,2
9551,20230428,2
9551,20230609,1
9551,20230414,1
9158,20230412,2
9158,20230517,1
9158,20230503,1
9158,20230510,1
9158,20230426,1
9158,20230419,1
9158,20230405,1
9158,20230531,1
9158,20230607,1
9158,20230329,1
9158,20230524,1
9158,20230322,1
6648,20230424,2
6648,20230417,2
6648,20230522,2
6648,20230515,2
6648,20230508,2
6648,20230501,2
6648,20230410,1
6648,20230516,2
6648,20230509,2
6648,20230502,2
6648,20230425,2
6648,20230418,2
6648,20230523,2
6648,20230411,1
6648,20230426,2
6648,20230419,2
6648,20230524,2
6648,20230517,2
6648,20230510,2
6648,20230503,2
6648,20230412,1
6648,20230525,2
6648,20230518,2
6648,20230511,2
6648,20230504,2
6648,20230427,2
6648,20230420,2
6648,20230413,1
6648,20230505,2
6648,20230428,2
6648,20230421,2
6648,20230519,2
6648,20230512,2
6648,20230414,1
6648,20230526,1
